"","Rk","Player","Pos","TS%","FTr","ORB%","DRB%","TRB%","TOV%","WS","VORP"
"1","1","Steven Adams\adamsst01","C",0.604,0.421,14,24,19.2,14.2,6.5,2.1
"2","2","Bam Adebayo\adebaba01","PF",0.598,0.484,8.5,24.9,17,17.6,8.5,3.3
"3","3","LaMarcus Aldridge\aldrila01","C",0.571,0.241,6.3,17.8,12,7.8,4.5,1.5
"4","4","Kyle Alexander\alexaky01","PF",0.5,0,17.9,8.3,12.9,33.3,0,0
"5","5","Nickeil Alexander-Walker\alexani01","SG",0.473,0.139,1.6,13.5,7.5,16.1,-0.2,-0.4
"6","6","Grayson Allen\allengr01","SG",0.609,0.179,1.2,11.1,6.2,10.9,1.2,0.1
"7","7","Jarrett Allen\allenja01","C",0.664,0.581,12.3,24.9,18.7,11.7,8.2,2
"8","8","Kadeem Allen\allenka01","SG",0.512,0.25,1.8,6.6,4.1,14.1,0.1,0
"9","9","Al-Farouq Aminu\aminual01","PF",0.395,0.337,6.6,18.4,12.3,14.7,0.1,-0.1
"10","10","Justin Anderson\anderju01","SF",0.352,0.105,1,18.9,10.2,9.1,-0.1,-0.2
"11","11","Kyle Anderson\anderky01","PF",0.534,0.236,4.7,17.6,11.3,15.3,2.5,0.9
"12","12","Ryan Anderson\anderry01","C",0.357,0,0,52.9,26.2,12.5,0,0
"13","13","Giannis Antetokounmpo\antetgi01","PF",0.613,0.508,7.7,34.8,22.1,13.2,11.1,6.6
"14","14","Kostas Antetokounmpo\antetko01","PF",0.902,0.667,11.1,5.4,8.2,20.5,0.1,0
"15","15","Thanasis Antetokounmpo\antetth01","SF",0.496,0.354,9.8,8.7,9.2,17.8,0.2,0
"16","16","Carmelo Anthony\anthoca01","PF",0.525,0.206,4,16.1,10.1,10.5,1.3,-0.8
"17","17","OG Anunoby\anunoog01","SF",0.6,0.18,4.2,14.2,9.3,11.5,5.7,1.7
"18","18","Ryan Arcidiacono\arcidry01","PG",0.551,0.173,2.3,11.2,6.5,13.5,1.4,-0.2
"19","19","Trevor Ariza\arizatr01","SF",0.593,0.228,2.5,15.7,9,13.6,2.5,0.5
"20","19","Trevor Ariza\arizatr01","SF",0.543,0.164,2.9,18.2,10.4,13.7,1.1,0.3
"21","19","Trevor Ariza\arizatr01","SF",0.643,0.296,2,12.8,7.4,13.5,1.4,0.3
"22","20","D.J. Augustin\augusdj01","PG",0.554,0.393,1.6,7.8,4.6,13.7,2.9,0.2
"23","21","Deandre Ayton\aytonde01","C",0.568,0.157,13,26.3,19.6,11.6,3.1,0.7
"24","22","Dwayne Bacon\bacondw01","SG",0.419,0.217,2.3,14,7.9,12.2,-0.8,-0.8
"25","23","Marvin Bagley III\baglema01","PF",0.512,0.186,9.5,23.5,16.3,9.1,0.4,-0.1
"26","24","Lonzo Ball\balllo01","PG",0.517,0.111,3.7,16.4,10,21.1,2.4,1.3
"27","25","Mo Bamba\bambamo01","C",0.542,0.161,11.9,25.6,18.5,12.1,2.5,0.5
"28","26","J.J. Barea\bareajo01","PG",0.512,0.106,2.4,9.9,6.2,14.9,0.7,0.1
"29","27","Harrison Barnes\barneha02","PF",0.574,0.337,3.4,12.9,8.1,8.8,4.6,0.5
"30","28","RJ Barrett\barrerj01","SG",0.479,0.349,3,14.8,8.7,12.9,-0.5,-1
"31","29","Will Barton\bartowi01","SF",0.549,0.18,4.5,16.9,10.7,9.9,4.2,1.5
"32","30","Keita Bates-Diop\bateske01","SF",0.539,0.321,3.5,15.1,9.1,6,1.2,0.1
"33","30","Keita Bates-Diop\bateske01","SF",0.535,0.316,3.3,15.1,9,5.6,1,0.2
"34","30","Keita Bates-Diop\bateske01","SF",0.571,0.357,4.6,14.8,9.7,8.5,0.2,-0.1
"35","31","Nicolas Batum\batumni01","SF",0.463,0.123,5.2,16.8,10.8,20.5,0.6,0
"36","32","Aron Baynes\baynear01","C",0.581,0.197,8.3,20,14.1,10.8,2.1,0.2
"37","33","Kent Bazemore\bazemke01","SF-SG",0.499,0.275,1.7,17.1,9.4,13.2,0.6,-0.5
"38","33","Kent Bazemore\bazemke01","SF",0.475,0.221,1.2,14.8,8.1,14.4,-0.2,-0.3
"39","33","Kent Bazemore\bazemke01","SG",0.533,0.361,2.7,21.6,11.9,11.4,0.8,-0.1
"40","34","Darius Bazley\bazleda01","PF",0.497,0.196,3,20.5,12,11.6,1,0.1
"41","35","Bradley Beal\bealbr01","SG",0.579,0.351,2.7,10.5,6.4,11.4,5.1,2.5
"42","36","Malik Beasley\beaslma01","SG",0.546,0.124,1.6,11.9,6.7,9.2,1.2,0
"43","36","Malik Beasley\beaslma01","SG",0.511,0.126,1.4,10.2,5.8,10.2,0.5,-0.2
"44","36","Malik Beasley\beaslma01","SG",0.591,0.12,2,14.7,8.1,7.9,0.8,0.2
"45","37","Marco Belinelli\belinma01","SG",0.532,0.185,0.9,11.2,6,5.3,0.8,-0.2
"46","38","Jordan Bell\belljo01","C-PF",0.577,0.463,12,21.8,16.7,20.7,0.4,0
"47","38","Jordan Bell\belljo01","C",0.57,0.483,12.1,23.3,17.5,19.8,0.4,0
"48","38","Jordan Bell\belljo01","PF",0.635,0.286,10.2,4.9,7.5,27.6,0,0
"49","39","DeAndre' Bembry\bembrde01","SG",0.5,0.211,4,14.1,8.9,19.4,0.2,-0.1
"50","40","Dragan Bender\bendedr01","SF",0.545,0.152,5.9,21.1,13.5,17.6,0.3,-0.1
"51","40","Dragan Bender\bendedr01","SF",0.582,0.143,0,20.5,10.9,18.3,0.2,0
"52","40","Dragan Bender\bendedr01","SF",0.534,0.155,8.6,21.3,14.7,17.4,0.1,-0.1
"53","41","Dāvis Bertāns\bertada01","PF",0.628,0.2,2.3,15.1,8.5,8.2,3.5,1.1
"54","42","Patrick Beverley\beverpa01","PG",0.56,0.138,4.5,15.8,10.3,15.4,3.6,1.4
"55","43","Khem Birch\birchkh01","C",0.566,0.706,10.3,15.6,12.9,14.2,2.2,-0.1
"56","44","Goga Bitadze\bitadgo01","C",0.523,0.22,5.9,18.7,12.3,14.5,0.7,0
"57","45","Bismack Biyombo\biyombi01","C",0.57,0.543,12.3,20.7,16.3,12.2,2.4,-0.1
"58","46","Nemanja Bjelica\bjeline01","PF",0.602,0.129,6.1,19.9,12.8,12.5,5.3,1.9
"59","47","Eric Bledsoe\bledser01","PG",0.571,0.304,2.8,13.5,8.5,15.7,5.4,1.6
"60","48","Bogdan Bogdanović\bogdabo01","SG",0.565,0.151,1.6,11.8,6.6,11.1,3.1,1.2
"61","49","Bojan Bogdanović\bogdabo02","SF",0.603,0.296,2.1,11.2,6.8,13.1,4.2,1.1
"62","50","Bol Bol\bolbo01","SF",0.617,0.357,6.4,18,12.2,23.6,0.1,0
"63","51","Jonah Bolden\boldejo01","PF",0.392,0.364,7,14.3,10.6,13.6,0,-0.1
"64","51","Jonah Bolden\boldejo01","PF",0.515,0.667,0,7.9,3.9,34,0,0
"65","51","Jonah Bolden\boldejo01","PF",0.338,0.25,10,17,13.5,0,0,0
"66","52","Marques Bolden\boldema01","C",NA,NA,0,74.7,37,NA,0,0
"67","53","Jordan Bone\bonejo01","PG",0.3,0,0,8.7,4.3,9.1,-0.1,-0.1
"68","54","Isaac Bonga\bongais01","SF",0.608,0.363,6,13.8,9.7,17.6,1.8,-0.3
"69","55","Devin Booker\bookede01","SG",0.618,0.397,1.3,12,6.6,14.9,7.5,2.6
"70","56","Chris Boucher\bouchch01","PF",0.587,0.388,14.1,21.4,17.9,7.4,3.8,0.8
"71","57","Brian Bowen\bowenbr02","SG",0.3,0,3.6,21,12.4,9.1,-0.1,-0.1
"72","58","Ky Bowman\bowmaky01","PG",0.494,0.128,2.5,10.7,6.5,17.1,-0.1,-0.6
"73","59","Avery Bradley\bradlav01","SG",0.537,0.063,1.7,8.9,5.3,10.7,1.5,-0.2
"74","60","Tony Bradley\bradlto01","C",0.681,0.243,19.1,25,22.2,12.5,3.3,0.6
"75","61","Jarrell Brantley\brantja01","PF",0.416,0.071,2.4,19.9,11.5,19.5,0,-0.1
"76","62","Ignas Brazdeikis\brazdig01","SF",0.351,0.227,3.9,6.2,5,7.6,-0.1,-0.1
"77","63","Corey Brewer\breweco01","SG",0.47,0.75,6.7,21,13.6,27.3,0,0
"78","64","Mikal Bridges\bridgmi01","SF",0.62,0.252,3.5,12.4,7.9,12,4.8,1.5
